D/B,X/D,Y/D,unit wt,c,friction angle,poissons ratio,E,BC
2.392,1.246,2.0,13.78,158.7,8,0.21,19872,70.843
2.392,0.0,2.0,13.78,158.7,8,0.39,19872,26.148
2.392,1.246,2.0,19.5,158.7,8,0.39,19872,70.78
2.7,1.246,2.0,13.78,158.7,8,0.39,19872,62.349
2.392,1.246,2.0,13.78,158.7,8,0.39,57000,70.846
2.392,1.246,2.0,13.78,158.7,8,0.39,54000,70.847
2.392,1.246,2.0,13.78,158.7,9,0.39,19872,84.532
2.392,1.246,2.1,13.78,158.7,8,0.39,19872,90.754
2.392,1.246,2.0,13.78,158.7,8,0.39,39000,70.846
2.392,-0.1,2.0,13.78,158.7,8,0.39,19872,26.5399
2.392,1.3,2.0,13.78,158.7,8,0.39,19872,69.177
2.392,1.246,2.0,16.0,158.7,8,0.39,19872,70.837
2.392,1.246,2.0,13.78,158.7,29,0.39,19872,119.039
2.392,1.246,2.0,13.78,158.7,8,0.39,48000,70.847
2.392,1.246,2.4,13.78,158.7,8,0.39,19872,90.589
2.392,1.246,2.0,13.78,158.7,8,0.38,19872,70.847
1.7,1.246,2.0,13.78,158.7,8,0.39,19872,75.391
2.0,1.246,2.0,13.78,158.7,8,0.39,19872,70.549
2.392,1.246,2.0,13.78,158.7,8,0.39,75000,70.847
2.392,1.246,2.0,13.78,336.0,8,0.39,19872,150.062
2.392,1.246,2.0,13.78,158.7,13,0.39,19872,94.518
2.392,2.4,2.0,13.78,158.7,8,0.39,19872,90.992
2.392,1.246,2.0,13.78,158.7,8,0.28,19872,70.845
2.392,-1.7,2.0,13.78,158.7,8,0.39,19872,80.174
0.1,1.246,2.0,13.78,158.7,8,0.39,19872,94.129
2.392,1.246,2.0,13.78,158.7,8,0.39,6000,70.846
2.392,1.246,2.0,13.78,12.0,8,0.39,19872,5.2894
2.392,1.246,2.0,19.75,158.7,8,0.39,19872,70.777
2.392,1.0,2.0,13.78,158.7,8,0.39,19872,54.787
2.392,1.246,2.0,13.78,158.7,2,0.39,19872,56.869
2.392,1.246,2.0,13.78,158.7,8,0.39,87000,70.847
2.392,1.246,2.0,13.78,228.0,8,0.39,19872,101.813
2.392,-0.4,2.0,13.78,158.7,8,0.39,19872,31.722
2.392,1.246,2.0,14.0,158.7,8,0.39,19872,70.844
2.392,1.246,2.0,13.78,158.7,4,0.39,19872,72.839
2.392,1.246,2.8,13.78,158.7,8,0.39,19872,89.956
2.392,-1.3,2.0,13.78,158.7,8,0.39,19872,69.177
2.392,1.246,2.0,19.25,158.7,8,0.39,19872,70.795
2.392,1.246,2.0,13.78,276.0,8,0.39,19872,123.252
2.392,1.246,2.0,13.78,158.7,8,0.32,19872,70.846
2.392,-3.0,2.0,13.78,158.7,8,0.39,19872,90.425
2.392,1.246,2.0,18.75,158.7,8,0.39,19872,70.801
2.392,1.5,2.0,13.78,158.7,8,0.39,19872,74.717
2.392,-1.1,2.0,13.78,158.7,8,0.39,19872,59.376
2.392,1.246,2.0,13.78,158.7,22,0.39,19872,100.359
2.4,1.246,2.0,13.78,158.7,8,0.39,19872,64.986
2.392,1.246,2.0,13.78,72.0,8,0.39,19872,32.1125
2.392,1.246,2.0,13.78,158.7,8,0.33,19872,70.846
2.392,1.246,2.0,13.78,158.7,8,0.24,19872,70.848
1.2,1.246,2.0,13.78,158.7,8,0.39,19872,80.547
2.392,0.3,2.0,13.78,158.7,8,0.39,19872,28.999
2.392,1.246,2.0,13.78,158.7,8,0.39,90000,70.846
2.392,1.246,2.0,13.78,60.0,8,0.39,19872,26.749
2.392,1.246,2.0,13.78,158.7,8,0.39,19872,70.847
2.392,-0.7,2.0,13.78,158.7,8,0.39,19872,41.209
2.392,1.246,2.0,13.78,158.7,24,0.39,19872,103.411
